POA 	 Type A - 3 Bedroom Semi-Detached, Brookhill, Ballea Road, Carrigaline, Co. Cork
€160,000 	 15 Cois na Farraige, Whitegate, Cork
€295,000 	 Quarry Road, Youghal, Cork
€555,000  €160,000 on 11th Oct 19 	 4 Bed Detached, Blackrock Villas, Blackrock, Cork
€49,500 	 20 & 21 Foildarrig,, Castletown Berehaven, West Cork
€120,000 	 3 Park View Close, Military Road, Buttevant, Co. Cork
€340,000 	 46 Clarkeswood, Mount Oval Village, Rochestown, Cork
€245,000 	 Knocknagee Castlefreke, , Clonakilty, West Cork
€270,000 	" Woodville"", 4 The Courtyard, Dunkettle, , Glanmire, Cork City"
€110,000  -€10,000 on 19th Sep 19 	 Gallows Hill, Leap,   West Cork
€180,000 	 The Parochial Hall, Baurnahulla, Drimoleague,   West Cork
€180,000 	 37 Palmbury, Togher, Cork City
€249,000 	 Stonehaven, School Road, Glandore,   West Cork
€560,000 	 ‘Mount Cronan’,  39, Sidney Park, Cork, St Lukes, Cork City
€35,000 	 Knockmore, Drinagh,   West Cork
€1,600,000  -€200,000 on 1st Jun 18 	 Carrigrohane Lodge, Carrigrohane, Cork
€550,000 	 Brownsmills, Kinsale, Cork
€295,000 	 8 Oak Drive, Classes Lake, Ovens, Cork
€215,000 	 27 The Courtyard, City Square, City Centre Nth, Cork City
€455,000 	 Showhouse For Sale, Dromkeen View, Church Hill,, Innishannon, Cork
€270,000 	 'INIS, Reendowney Place, Friars Walk, Ballyphehane, Cork
